시즌,상대팀,공격득점,블로킹득점,서브득점,팀범실,상대범실,전체득점,상대득점,디그성공,리시브정확,세트성공,공격성공률,리시브효율,경기시간,세트승,세트패,결과,김연경,김연경득점,김연경시도,김연경성공,김연경공격차단,김연경범실,김연경성공률,김연경점유율
12,GS칼텍스,73,9,1,27,19,102,106,122,41,68,36.50,36.63,135,2,3,패,미출전,,,,,,,
12,KGC인삼공사,59,9,6,19,17,91,77,103,25,58,39.60,22.67,104,3,1,승,미출전,,,,,,,
12,한국도로공사,42,10,4,11,19,75,51,65,16,39,40.78,27.66,81,3,0,승,미출전,,,,,,,
12,한국도로공사,42,8,8,13,17,75,60,71,28,39,37.84,46.43,86,3,0,승,미출전,,,,,,,
12,KGC인삼공사,66,5,5,23,24,100,89,129,40,66,34.74,45.78,122,3,1,승,미출전,,,,,,,
12,IBK기업은행,50,2,3,21,27,82,100,99,39,48,31.45,39.02,116,1,3,패,미출전,,,,,,,
12,현대건설,38,3,2,13,15,58,75,75,21,36,30.16,27.94,80,0,3,패,미출전,,,,,,,
12,GS칼텍스,53,10,3,21,30,96,101,130,45,52,26.50,46.24,129,2,3,패,미출전,,,,,,,
12,GS칼텍스,78,9,8,25,17,112,106,109,44,75,41.05,41.18,141,3,2,승,미출전,,,,,,,
12,현대건설,47,5,6,11,23,81,64,66,29,40,41.23,42.86,83,3,0,승,미출전,,,,,,,
12,KGC인삼공사,62,10,6,34,27,105,106,111,52,59,32.12,51.58,128,3,2,승,미출전,,,,,,,
12,IBK기업은행,45,1,7,25,11,64,76,79,27,42,33.09,32.39,87,0,3,패,미출전,,,,,,,
12,한국도로공사,40,9,6,15,24,79,66,67,34,37,34.78,47.54,93,3,0,승,미출전,,,,,,,
12,GS칼텍스,46,6,2,23,19,73,81,76,21,43,35.11,23.61,98,0,3,패,미출전,,,,,,,
12,IBK기업은행,75,7,5,25,15,102,107,105,42,70,41.21,35.29,135,2,3,패,미출전,,,,,,,
12,현대건설,54,4,3,21,20,82,91,93,42,52,33.54,51.25,107,1,3,패,미출전,,,,,,,
12,한국도로공사,26,4,3,22,19,52,76,64,33,25,23.42,44.78,76,0,3,패,미출전,,,,,,,
12,KGC인삼공사,63,11,10,24,24,108,97,117,39,61,34.05,37.93,124,3,2,승,미출전,,,,,,,
12,IBK기업은행,63,6,3,19,25,97,89,85,27,62,42.28,25.61,113,3,1,승,미출전,,,,,,,
12,KGC인삼공사,36,5,1,21,14,56,75,87,33,36,25.90,40.00,83,0,3,패,미출전,,,,,,,
12,GS칼텍스,54,12,8,14,24,98,80,90,29,50,37.76,35.21,115,3,1,승,미출전,,,,,,,
12,한국도로공사,69,13,3,23,28,113,101,114,47,65,36.70,46.81,138,3,2,승,미출전,,,,,,,
12,현대건설,63,8,7,23,21,100,100,117,45,58,32.14,44.21,124,3,2,승,미출전,,,,,,,
12,현대건설,55,9,3,18,14,81,101,120,56,53,27.64,54.74,114,1,3,패,미출전,,,,,,,
12,현대건설,46,4,4,27,21,76,93,87,39,43,29.68,36.78,102,1,3,패,미출전,,,,,,,
13,KGC인삼공사,55,5,5,14,11,76,69,67,26,50,45.08,32.84,84,3,0,승,미출전,,,,,,,
13,현대건설,42,10,6,21,21,79,59,67,21,41,38.89,35.09,81,3,0,승,미출전,,,,,,,
13,한국도로공사,44,10,2,18,18,75,58,61,23,41,39.64,36.36,82,3,0,승,미출전,,,,,,,
13,GS칼텍스,34,3,3,16,19,60,75,65,24,32,29.82,31.82,84,0,3,패,미출전,,,,,,,
13,IBK기업은행,54,6,1,28,21,82,98,86,32,54,34.84,29.67,111,1,3,패,미출전,,,,,,,
13,IBK기업은행,94,5,3,27,23,125,117,130,60,90,41.41,51.75,150,3,2,승,미출전,,,,,,,
13,GS칼텍스,80,4,3,15,19,106,94,89,36,78,48.19,38.89,119,3,1,승,미출전,,,,,,,
13,현대건설,58,8,2,20,22,90,83,96,45,57,34.52,53.57,104,3,1,승,미출전,,,,,,,
13,한국도로공사,52,4,3,14,16,75,62,79,25,50,39.39,41.38,76,3,0,승,미출전,,,,,,,
13,KGC인삼공사,37,9,4,15,13,63,78,56,33,36,33.04,40.54,83,0,3,패,미출전,,,,,,,
13,한국도로공사,64,10,7,19,18,99,92,104,47,62,36.36,51.76,116,3,1,승,미출전,,,,,,,
13,KGC인삼공사,43,6,8,15,19,76,55,67,19,42,39.09,31.37,75,3,0,승,미출전,,,,,,,
13,현대건설,31,4,1,14,11,47,75,65,24,30,27.19,27.14,70,0,3,패,미출전,,,,,,,
13,IBK기업은행,45,11,2,13,23,81,66,61,31,42,41.28,49.12,88,3,0,승,미출전,,,,,,,
13,GS칼텍스,51,5,3,14,16,75,64,60,25,47,45.54,36.21,81,3,0,승,미출전,,,,,,,
13,현대건설,49,5,2,8,19,75,63,74,26,47,40.83,43.64,79,3,0,승,미출전,,,,,,,
13,KGC인삼공사,55,8,2,24,19,84,99,106,30,53,31.25,27.78,100,1,3,패,미출전,,,,,,,
13,GS칼텍스,64,4,5,16,24,97,89,92,44,62,44.44,46.34,111,3,1,승,미출전,,,,,,,
